Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Syria,20%,20%,20%,20%,12.3%,12.5%,9%,8.6%,8.3%,8.3%,18%,18%,17.8%,17.8%,17.8%
Burma,5.1%,5.1%,4.2%,5.2%,5%,10.2%,5.2%,5%,5.7%,5.7%,5.4%,5.4%,5.2%,5.2%,5.2%
Croatia,20.2%,21.7%,19.5%,13.8%,18%,17.2%,11.8%,13.7%,17.6%,17.6%,19%,19.1%,21.6%,21.6%,21.6%
European Union,NA,NA,9.1%,9.5%,9.4%,8.5%,8.5%,7.2%,9.5%,9.6%,10.5%,10.2%,10.5%,10.5%,10.5%
"Bahamas, The",6.9%,6.9%,6.9%,10.2%,10.2%,10.2%,7.6%,7.6%,7.6%,7.6%,14.2%,14%,16.2%,16.2%,16.2%
Andorra,0%,0%,0%,0%,0%,0%,0%,0%,7%,2.9%,1.9%,2.9%,4%,4%,4%
Tunisia,15.6%,15.4%,14.3%,13.8%,14.2%,13.9%,14.1%,14.1%,14%,13%,18.8%,17.4%,17.2%,17.2%,17.2%
South Africa,37%,37%,31%,26.2%,26.6%,25.5%,24.3%,22.9%,23.3%,24.9%,24.4%,25.1%,24.9%,24.9%,24.9%
Antigua and Barbuda,7%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
Mongolia,20%,20%,4.6%,6.7%,6.7%,3.3%,3%,2.8%,2.8%,11.5%,9%,9%,9%,9%,9%
Belarus,2.1%,2.1%,2.1%,2%,1.6%,1.6%,1.6%,1.6%,1%,1%,1%,1%,1%,1%,1%
Bolivia,7.6%,7.6%,11.7%,9.2%,8%,7.8%,7.5%,7.5%,8.3%,7.8%,7.5%,7.5%,7.4%,7.4%,7.4%
Saint Lucia,15%,16.5%,16.5%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
Hungary,5.8%,5.8%,5.9%,5.9%,7.2%,7.4%,7.3%,7.8%,11.5%,11.2%,11.2%,10.7%,10.5%,10.5%,10.5%
Lebanon,18%,18%,18%,18%,18%,20%,20%,9.2%,NA,NA,NA,NA,NA,NA,NA
Saint Pierre and Miquelon,9.8%,9.8%,9.8%,9.8%,10.3%,10.3%,10.3%,10.3%,10.3%,10.3%,10.3%,9.9%,9.9%,9.9%,9.9%
